UNDEAD	DESTRUCTION ROAD 	1 697 220 	2 ans	2 minutes et 15 secondes
√AtoZ	デートプランA to Z 	8 334 979 	3 ans	2 minutes et 23 secondes
Valkyrie	Last Lament 	2 327 135 	3 ans	2 minutes et 9 secondes
Crazy:B	Crazy Roulette 	9 629 038 	4 ans	2 minutes et 58 secondes
Trickstar	Romantic Xday! 	361 413 	10 jours	2 minutes et 38 secondes
Knights	Or the Beautiful Golden Drop	3 693 610 	7 mois	2 minutes et 50 secondes
Knights	Article of Faith	1 593 602 	10 mois	2 minutes et 18 secondes
Switch	オモイノカケラ 	2 760 353 	2 ans	1 minute et 50 secondes
フラタニティ	エンドレスヴィーデ 	1 115 437 	2 ans	2 minutes et 32 secondes
2wink	トゥウィンクル空中戦 	258 972 	2 semaines	2 minutes et 19 secondes
Crazy:B	指先のアリアドネ 	5 462 779 	2 ans	2 minutes et 34 secondes
流星隊	流星花火 	2 520 610 	2 ans	2 minutes et 2 secondes
fine	The Tempest Night 	5 914 517 	3 ans	2 minutes et 25 secondes
紅月	祭夜絵巻 	1 201 265 	3 ans	2 minutes et 15 secondes
Knights	Grateful allegiance 	5 156 813 	3 ans	2 minutes et 3 secondes
Trickstar × fine	Crossing×Heart 	1 852 702 	2 ans	2 minutes et 33 secondes
Knights	Little Romance 	6 398 435 	2 ans	2 minutes et 34 secondes
流星隊	彗星HALATION 	2 841 073 	2 ans	2 minutes et 19 secondes
UNDEAD	Resurrection of Soul 	657 774 	1 mois	2 minutes et 40 secondes
Valkyrie	礼賛歌 	1 129 378 	1 an	2 minutes et 20 secondes
ALKALOID	You’re Speculation 	3 048 542 	2 ans	2 minutes et 11 secondes
Eve	Trap For You 	4 359 284 	1 an	2 minutes et 22 secondes
2wink	Play "Tag" 	1 261 975 	3 ans	2 minutes et 15 secondes
Switch × Eden	Majestic Magic 	4 426 052 	2 ans	2 minutes et 33 secondes
fine	Miracle Dream Traveler	743 655 	1 an	1 minute et 58 secondes
fine	Neo Sanctuary 	2 122 415 	2 ans	2 minutes et 24 secondes
五奇人	Eccentric Party Night!!	2 754 361 	9 mois	2 minutes et 21 secondes
fine-O	Dawning Angels 	1 616 837 	8 mois	2 minutes et 42 secondes
紅月	剣戟の舞 	605 804 	1 an	2 minutes et 16 secondes
Trickstar	1st SING-ALONG☆ 	1 290 708 	2 ans	2 minutes et 13 secondes
Crazy:B	Be The Party Bee! 	5 680 706 	3 ans	2 minutes et 31 secondes
Trickstar	Rebellion Star 	2 547 293 	3 ans	2 minutes et 54 secondes
BLEND+	Heart aid Cafeteria	1 712 889 	1 an	2 minutes et 53 secondes
Double Face	Bye-Bye Buddy 	742 447 	4 mois	2 minutes et 35 secondes
Switch	Brilliant Smile	3 558 531 	1 an	2 minutes et 37 secondes
Crazy:B & UNDEAD	U.S.A.	6 935 159 	1 an	2 minutes et 32 secondes
2wink	歓迎☆トゥ・ウィンク雑技団 	2 517 325 	3 ans	2 minutes et 32 secondes
ALKALOID	Distorted Heart 	7 085 741 	2 ans	2 minutes et 19 secondes
Ra*bits	ハレノヒSugar Wave 	1 430 596 	11 mois	2 minutes et 26 secondes
UNDEAD	ハニーミルクはお好みで 	1 656 116 	1 an	2 minutes et 32 secondes
Jin & Akiomi	Rainbow Stairway 	1 035 466 	3 ans	2 minutes et 17 secondes
Crazy:B	PARANOIA STREET 	5 743 208 	2 ans	2 minutes et 22 secondes
ALKALOID × Valkyrie	Artistic Partisan 	5 098 285 	2 ans	2 minutes et 36 secondes
